id,left_shoulder_x_min,left_shoulder_y_min,left_elbow_x_min,left_elbow_y_min,left_wrist_x_min,left_wrist_y_min,right_shoulder_x_min,right_shoulder_y_min,right_elbow_x_min,right_elbow_y_min,right_wrist_x_min,right_wrist_y_min,h1_thumb_x_min,h1_thumb_y_min,h1_index_x_min,h1_index_y_min,h1_middle_x_min,h1_middle_y_min,h1_ring_x_min,h1_ring_y_min,h1_pinky_x_min,h1_pinky_y_min,h2_thumb_x_min,h2_thumb_y_min,h2_index_x_min,h2_index_y_min,h2_middle_x_min,h2_middle_y_min,h2_ring_x_min,h2_ring_y_min,h2_pinky_x_min,h2_pinky_y_min
1,363.0,321.0,391.0,420.0,352.0,371.0,212.0,319.0,146.0,409.0,27.0,380.0,-12.0,354.0,-31.0,352.0,-31.0,363.0,-26.0,375.0,-15.0,386.0,299.0,342.0,283.0,348.0,283.0,358.0,285.0,369.0,289.0,379.0
2,363.0,324.0,398.0,410.0,363.0,358.0,213.0,322.0,129.0,399.0,3.0,366.0,-11.0,315.0,-30.0,322.0,-26.0,332.0,-22.0,344.0,-10.0,355.0,317.0,303.0,281.0,304.0,278.0,314.0,281.0,323.0,288.0,332.0
3,360.0,326.0,391.0,413.0,354.0,367.0,210.0,323.0,115.0,398.0,8.0,360.0,12.0,317.0,-20.0,342.0,-17.0,353.0,-9.0,362.0,9.0,370.0,-5.0,322.0,-29.0,335.0,-29.0,349.0,-27.0,358.0,-16.0,356.0
